occupations,pred_female,pred_male,female,male,binary,scale_score,pred_scale_score,pred_binary
byggdrifter vaktmester,50.25,49.75,8.8,"91,2",0,-82.4,0.5,1
byggingeniør,52.11,47.89,18.3,"81,7",0,-63.4,4.219999999999999,1
chassispåbygger,37.13,62.87,0.7,"99,3",0,-98.6,-25.739999999999995,0
cnc-operatør,41.97,58.03,10.1,"89,9",0,-79.8,-16.060000000000002,0
dansepedagog,70.71,29.29,85.7,"14,3",1,71.4,41.41999999999999,1
danser,72.91,27.09,61.7,"38,3",1,23.400000000000006,45.81999999999999,1
dataelektroniker,54.74,45.26,9.1,"90,9",0,-81.8,9.480000000000004,1
dataingeniør,57.48,42.52,18.1,"81,9",0,-63.8,14.959999999999994,1
diakon,67.76,32.24,82.2,"17,8",1,64.4,35.52000000000001,1
diakonimedarbeider,66.48,33.52,73.8,"26,2",1,47.599999999999994,32.96000000000001,1
diplomat,57.49,42.51,53.3,"46,7",1,6.599999999999994,14.980000000000004,1
dirigent,66.4,33.6,47,53,0,-6.0,32.80000000000001,1
dommer,45.14,54.86,45.7,"54,3",0,-8.599999999999994,-9.719999999999999,0
driftsoperatør i idrettsanlegg,39.03,60.97,16.1,"83,9",0,-67.8,-21.939999999999998,0
driftstekniker,39.13,60.87,13.9,"86,1",0,-72.2,-21.739999999999995,0
dykker,60.71,39.29,1.6,"98,4",0,-96.8,21.42,1
dyrepasser,71.17,28.83,79.2,"20,8",1,58.400000000000006,42.34,1
dyrepleier,73.94,26.06,92.8,"7,2",1,85.6,47.879999999999995,1
eiendomsmegler,57.0,43.0,34.6,"65,4",0,-30.799999999999997,14.0,1
elektriker,48.22,51.78,2.5,"97,5",0,-95.0,-3.5600000000000023,0
elektroingeniør,53.73,46.27,10.3,"89,7",0,-79.4,7.459999999999994,1
elektroreparatør,33.48,66.52,6.8,"93,2",0,-86.4,-33.040000000000006,0
energimontør,35.6,64.4,2.8,"97,2",0,-94.4,-28.799999999999997,0
energioperatør,39.73,60.27,5.6,"94,4",0,-88.8,-20.540000000000006,0
ergoterapeut,65.28,34.72,89.8,"10,2",1,79.6,30.560000000000002,1
fagarbeider industriell matproduksjon,50.52,49.48,36.1,"63,9",0,-27.799999999999997,1.0400000000000063,1
fagarbeider sjømatproduksjon,57.56,42.44,36.2,"63,8",0,-27.599999999999994,15.120000000000005,1
faglærer,62.75,37.25,50.1,"49,9",1,0.20000000000000284,25.5,1
"fagoperatør i farging, trykking og etterbehandling",45.4,54.6,55.8,"44,2",1,11.599999999999994,-9.200000000000003,0
fagoperatør i fiskeredskapsfaget,50.89,49.11,39,61,0,-22.0,1.7800000000000011,1
fagoperatør i grafisk emballasje,42.16,57.84,17.5,"82,5",0,-65.0,-15.680000000000007,0
fagoperatør i grafisk produksjonsteknikk,39.17,60.83,21.8,"78,2",0,-56.4,-21.659999999999997,0
fagoperatør i industrisømfaget,56.94,43.06,76.2,"23,8",1,52.400000000000006,13.879999999999995,1
fagoperatør i limtreproduksjonsfaget,53.66,46.34,11.3,"88,7",0,-77.4,7.319999999999993,1
fagoperatør i polymerkompositt herdeplast,45.03,54.97,15,85,0,-70.0,-9.939999999999998,0
fagoperatør i produksjonsteknikk,44.2,55.8,20.3,"79,7",0,-59.4,-11.599999999999994,0
fagoperatør i termoplast,49.44,50.56,14.6,"85,4",0,-70.8,-1.1200000000000045,0
fagoperatør i trelastfaget,55.27,44.73,11.2,"88,8",0,-77.6,10.540000000000006,1
fagoperatør i trikotasje,55.95,44.05,59.5,"40,5",1,19.0,11.900000000000006,1
familierådgiver,61.65,38.35,77.7,"22,3",1,55.400000000000006,23.299999999999997,1
farmasøyt,75.19,24.81,82.9,"17,1",1,65.80000000000001,50.379999999999995,1
feier,53.25,46.75,9.3,"90,7",0,-81.4,6.5,1
fengselsbetjent,53.58,46.42,40.5,"59,5",0,-19.0,7.159999999999997,1
finansanalytiker,45.52,54.48,46.1,"53,9",0,-7.799999999999997,-8.959999999999994,0
finmekaniker,36.0,64.0,9.1,"90,9",0,-81.8,-28.0,0
fiskehelsebiolog,62.16,37.84,19.7,"80,3",0,-60.6,24.319999999999993,1
fiskeoppdretter,43.42,56.58,16.1,"83,9",0,-67.8,-13.159999999999997,0
fisker,42.44,57.56,12,88,0,-76.0,-15.120000000000005,0
fjell- og bergverksarbeider,38.56,61.44,5.4,"94,6",0,-89.2,-22.879999999999995,0
flygeleder,57.68,42.32,25.2,"74,8",0,-49.6,15.36,1
flyinstruktør,55.16,44.84,9.1,"90,9",0,-81.8,10.319999999999993,1
flyktningkonsulent,63.93,36.07,66,34,1,32.0,27.86,1
flymotormekaniker,49.37,50.63,5,95,0,-90.0,-1.2600000000000051,0
flystrukturmekaniker,43.62,56.38,4.9,"95,1",0,-90.2,-12.760000000000005,0
flysystemmekaniker,45.48,54.52,4.9,"95,1",0,-90.2,-9.040000000000006,0
forretningsutvikler,58.87,41.13,35.8,"64,2",0,-28.400000000000006,17.739999999999995,1
forsikringsrådgiver,53.08,46.92,47,53,0,-6.0,6.159999999999997,1
forsker,57.96,42.04,43.9,"56,1",0,-12.200000000000003,15.920000000000002,1
førsteamanuensis,62.97,37.03,47.2,"52,8",0,-5.599999999999994,25.939999999999998,1
fotballspiller,48.34,51.66,10.2,"89,8",0,-79.6,-3.319999999999993,0
fotballtrener,53.29,46.71,10.5,"89,5",0,-79.0,6.579999999999998,1
fotograf,68.42,31.58,33.8,"66,2",0,-32.400000000000006,36.84,1
fotterapeut,70.71,29.29,95.3,"4,7",1,90.6,41.41999999999999,1
frisør,80.65,19.35,89.9,"10,1",1,79.80000000000001,61.30000000000001,1
fu-operatør,34.89,65.11,9.8,"90,2",0,-80.4,-30.22,0
fysiker,49.02,50.98,35.2,"64,8",0,-29.599999999999994,-1.9599999999999937,0
fysioterapeut,61.7,38.3,77,23,1,54.0,23.400000000000006,1
garnframstiller,65.85,34.15,66.7,"33,3",1,33.400000000000006,31.69999999999999,1
gartner,55.87,44.13,45.8,"54,2",0,-8.400000000000006,11.739999999999995,1
garver,51.12,48.88,58.3,"41,7",1,16.599999999999994,2.239999999999995,1
geodataingeniør,60.91,39.09,28.3,"71,7",0,-43.4,21.819999999999993,1
geofysiker,55.82,44.18,32.8,"67,2",0,-34.400000000000006,11.64,1
geolog,62.49,37.51,35.4,"64,6",0,-29.200000000000003,24.980000000000004,1
gjenvinningsoperatør,33.45,66.55,7.4,"92,6",0,-85.2,-33.099999999999994,0
glassfagarbeider,56.31,43.69,6.7,"93,3",0,-86.6,12.620000000000005,1
grafisk designer,60.25,39.75,50.3,"49,7",1,0.5999999999999943,20.5,1
grafisk trykker,39.94,60.06,21.9,"78,1",0,-56.2,-20.120000000000005,0
gravferdskonsulent,63.98,36.02,41.6,"58,4",0,-16.799999999999997,27.959999999999994,1
grunnarbeider,40.88,59.12,2.4,"97,6",0,-95.2,-18.239999999999995,0
grunnskolelærer,61.97,38.03,75.8,"24,2",1,51.599999999999994,23.939999999999998,1
guide,61.03,38.97,50.4,"49,6",1,0.7999999999999972,22.060000000000002,1
gullsmed,63.51,36.49,56.1,"43,9",1,12.200000000000003,27.019999999999996,1
heismontør,40.58,59.42,0.9,"99,1",0,-98.2,-18.840000000000003,0
helsefagarbeider,68.92,31.08,85.6,"14,4",1,71.19999999999999,37.84,1
helsesekretær,77.41,22.59,98.8,"1,2",1,97.6,54.81999999999999,1
helsesykepleier,74.81,25.19,99.5,"0,5",1,99.0,49.620000000000005,1
hestefaglært,69.31,30.69,81.9,"18,1",1,63.80000000000001,38.620000000000005,1
hjelpearbeider,53.88,46.12,8,92,0,-84.0,7.760000000000005,1
hjemmehjelp,81.68,18.32,88.5,"11,5",1,77.0,63.360000000000014,1
hjulutrustningsreparatør,35.36,64.64,1.9,"98,1",0,-96.2,-29.28,0
hms-ingeniør,41.6,58.4,39.7,"60,3",0,-20.599999999999994,-16.799999999999997,0
hotelldirektør,56.02,43.98,36.1,"63,9",0,-27.799999999999997,12.040000000000006,1
hotellmedarbeider,55.98,44.02,67.6,"32,4",1,35.19999999999999,11.959999999999994,1
hovmester,54.46,45.54,56.2,"43,8",1,12.400000000000006,8.920000000000002,1
hovslager,55.45,44.55,23.2,"76,8",0,-53.6,10.900000000000006,1
hudpleier,68.49,31.51,99.3,"0,7",1,98.6,36.97999999999999,1
husøkonom,74.61,25.39,87.2,"12,8",1,74.4,49.22,1
idrettstrener,53.44,46.56,51,49,1,2.0,6.8799999999999955,1
idrettsutøver,53.45,46.55,18.5,"81,5",0,-63.0,6.900000000000006,1
ikt-servicemedarbeider,44.53,55.47,28.7,"71,3",0,-42.6,-10.939999999999998,0
industridesigner,58.0,42.0,28,72,0,-44.0,16.0,1
industriell overflatebehandler,30.98,69.02,3.6,"96,4",0,-92.8,-38.04,0
industrimaler,32.69,67.31,1.1,"98,9",0,-97.8,-34.620000000000005,0
industrimekaniker,38.6,61.4,4.4,"95,6",0,-91.2,-22.799999999999997,0
industrimontør,26.61,73.39,5.6,"94,4",0,-88.8,-46.78,0
industrirørlegger,45.52,54.48,1.7,"98,3",0,-96.6,-8.959999999999994,0
industrisnekker,41.16,58.84,9.6,"90,4",0,-80.8,-17.680000000000007,0
ingeniør,44.37,55.63,20.4,"79,6",0,-59.2,-11.260000000000005,0
ingeniør i energi og miljø i bygg,48.34,51.66,19.4,"80,6",0,-61.2,-3.319999999999993,0
innkjøper,57.71,42.29,38.9,"61,1",0,-22.200000000000003,15.420000000000002,1
inspisient,64.51,35.49,44.6,"55,4",0,-10.799999999999997,29.02000000000001,1
institusjonskokk,58.5,41.5,77,23,1,54.0,17.0,1
instrumentalpedagog,69.17,30.83,57,43,1,14.0,38.34,1
interiørarkitekt,85.74,14.26,85.4,"14,6",1,70.80000000000001,71.47999999999999,1
interiørkonsulent,77.24,22.76,85.9,"14,1",1,71.80000000000001,54.47999999999999,1
isolatør,41.12,58.88,1.1,"98,9",0,-97.8,-17.760000000000005,0
it-administrator,45.76,54.24,21.9,"78,1",0,-56.2,-8.480000000000004,0
it-konsulent,47.52,52.48,21.5,"78,5",0,-57.0,-4.959999999999994,0
jordmor,73.81,26.19,99.8,"0,2",1,99.6,47.620000000000005,1
jordskiftekandidat,58.82,41.18,21.8,"78,2",0,-56.4,17.64,1
journalist,58.49,41.51,44.2,"55,8",0,-11.599999999999994,16.980000000000004,1
jurist,52.63,47.37,63.3,"36,7",1,26.599999999999994,5.260000000000005,1
kabinbesetning fly,43.28,56.72,79.8,"20,2",1,59.599999999999994,-13.439999999999998,0
kantinemedarbeider,54.86,45.14,65.3,"34,7",1,30.599999999999994,9.719999999999999,1
kantor,63.04,36.96,37.7,"62,3",0,-24.599999999999994,26.08,1
kaptein,52.8,47.2,1,99,0,-98.0,5.599999999999994,1
karriereveileder,66.95,33.05,68,32,1,36.0,33.900000000000006,1
kateket,69.34,30.66,70.6,"29,4",1,41.19999999999999,38.68000000000001,1
kirketjener,59.61,40.39,31.2,"68,8",0,-37.6,19.22,1
kirkeverge,60.13,39.87,51.1,"48,9",1,2.200000000000003,20.260000000000005,1
kiropraktor,53.67,46.33,33.1,"66,9",0,-33.8,7.340000000000003,1
kjemiingeniør,56.92,43.08,52.1,"47,9",1,4.200000000000003,13.840000000000003,1
kjemiker,58.05,41.95,48.5,"51,5",0,-3.0,16.099999999999994,1
kjøkkensjef,55.11,44.89,32.6,"67,4",0,-34.8,10.219999999999999,1
kjole- og draktsyer,68.67,31.33,87.7,"12,3",1,75.4,37.34,1
kjøttskjærer,57.27,42.73,6.8,"93,2",0,-86.4,14.540000000000006,1
klesdesigner,76.03,23.97,85,15,1,70.0,52.06,1
klinisk ernæringsfysiolog,69.02,30.98,94.7,"5,3",1,89.4,38.03999999999999,1
klinisk sosionom,68.84,31.16,86.7,"13,3",1,73.4,37.68000000000001,1
kokk,59.71,40.29,40.4,"59,6",0,-19.200000000000003,19.42,1
kommunikasjonsrådgiver,55.07,44.93,62,38,1,24.0,10.14,1
komposittbåtbygger,54.73,45.27,13.9,"86,1",0,-72.2,9.459999999999994,1
konditor,67.41,32.59,68.5,"31,5",1,37.0,34.81999999999999,1
konduktør,52.81,47.19,41.6,"58,4",0,-16.799999999999997,5.6200000000000045,1
konservator,59.62,40.38,66.8,"33,2",1,33.599999999999994,19.239999999999995,1
kosmetolog,80.94,19.06,97.5,"2,5",1,95.0,61.879999999999995,1
kostøkonom,67.38,32.62,61.9,"38,1",1,23.799999999999997,34.75999999999999,1
kostymesyer,73.84,26.16,95.1,"4,9",1,90.19999999999999,47.68000000000001,1
kranfører,46.39,53.61,2.6,"97,4",0,-94.8,-7.219999999999999,0
kulde- og varmepumpemontør,39.89,60.11,1.1,"98,9",0,-97.8,-20.22,0
kundeansvarlig,66.13,33.87,35.5,"64,5",0,-29.0,32.25999999999999,1
kunderådgiver i bank,63.46,36.54,55.8,"44,2",1,11.599999999999994,26.92,1
kunst- og kulturformidler,60.87,39.13,64.5,"35,5",1,29.0,21.739999999999995,1
kunsthåndverker,66.58,33.42,58.5,"41,5",1,17.0,33.16,1
kystskipper,63.32,36.68,0,100,0,-100.0,26.64,1
laborant,61.45,38.55,68.2,"31,8",1,36.400000000000006,22.900000000000006,1
lærer,57.31,42.69,74.4,"25,6",1,48.80000000000001,14.620000000000005,1
landbruksmaskinmekaniker,39.11,60.89,4.2,"95,8",0,-91.6,-21.78,0
landbruksrådgiver,47.5,52.5,48.5,"51,5",0,-3.0,-5.0,0
landmåler,54.4,45.6,33.9,"66,1",0,-32.2,8.799999999999997,1
landskapsarkitekt,69.09,30.91,63.5,"36,5",1,27.0,38.18000000000001,1
låsesmed,32.69,67.31,2.6,"97,4",0,-94.8,-34.620000000000005,0
leder,51.53,48.47,33.6,"66,4",0,-32.8,3.0600000000000023,1
lege,55.45,44.55,51.6,"48,4",1,3.200000000000003,10.900000000000006,1
legemiddelkonsulent,62.49,37.51,51.1,"48,9",1,2.200000000000003,24.980000000000004,1
lektor,65.79,34.21,61.4,"38,6",1,22.799999999999997,31.580000000000013,1
logistikkoperatør,52.68,47.32,17.4,"82,6",0,-65.2,5.359999999999999,1
logoped,70.3,29.7,92.2,"7,8",1,84.4,40.599999999999994,1
lokomotivfører,52.4,47.6,6.5,"93,5",0,-87.0,4.799999999999997,1
lønnskonsulent,63.45,36.55,91.6,"8,4",1,83.19999999999999,26.900000000000006,1
los,52.75,47.25,2.7,"97,3",0,-94.6,5.5,1
lufthavnbetjent,54.99,45.01,7,93,0,-86.0,9.980000000000004,1
lydtekniker,56.49,43.51,8.6,"91,4",0,-82.8,12.980000000000004,1
lystekniker,51.64,48.36,26.4,"73,6",0,-47.2,3.280000000000001,1
maler,60.66,39.34,5.3,"94,7",0,-89.4,21.319999999999993,1
marin bioteknolog,61.9,38.1,59.6,"40,4",1,19.200000000000003,23.799999999999997,1
maritim elektriker,47.27,52.73,1.1,"98,9",0,-97.8,-5.459999999999994,0
markedsanalytiker,58.38,41.62,41.4,"58,6",0,-17.200000000000003,16.760000000000005,1
markedsføringskonsulent,62.46,37.54,57.5,"42,5",1,15.0,24.92,1
markedssjef,55.07,44.93,37.7,"62,3",0,-24.599999999999994,10.14,1
maskiningeniør,52.79,47.21,7.7,"92,3",0,-84.6,5.579999999999998,1
maskinist,43.45,56.55,2.4,"97,6",0,-95.2,-13.099999999999994,0
maskinsjef,43.5,56.5,0.4,"99,6",0,-99.2,-13.0,0
massasjeterapeut,71.77,28.23,84.3,"15,7",1,68.6,43.53999999999999,1
matros,54.21,45.79,4.8,"95,2",0,-90.4,8.420000000000002,1
matteknolog,67.42,32.58,68,32,1,36.0,34.84,1
mediedesigner,58.17,41.83,49,51,0,-2.0,16.340000000000003,1
mediegrafiker,57.4,42.6,48.7,"51,3",0,-2.5999999999999943,14.799999999999997,1
megler,53.58,46.42,31.7,"68,3",0,-36.6,7.159999999999997,1
mekaniker,42.2,57.8,1.9,"98,1",0,-96.2,-15.599999999999994,0
menighetspedagog,74.98,25.02,70.3,"29,7",1,40.599999999999994,49.96000000000001,1
meteorolog,56.68,43.32,42.5,"57,5",0,-15.0,13.36,1
miljøarbeider,55.62,44.38,65.1,"34,9",1,30.19999999999999,11.239999999999995,1
miljørådgiver,57.93,42.07,49.9,"50,1",0,-0.20000000000000284,15.86,1
miljøterapeut,57.09,42.91,69.3,"30,7",1,38.599999999999994,14.180000000000007,1
misjonær,62.46,37.54,44.1,"55,9",0,-11.799999999999997,24.92,1
møbelsnekker,57.8,42.2,8.5,"91,5",0,-83.0,15.599999999999994,1
møbeltapetserer,75.91,24.09,28.4,"71,6",0,-43.2,51.81999999999999,1
modell,66.23,33.77,70.3,"29,7",1,40.599999999999994,32.46000000000001,1
motormann,32.43,67.57,1.8,"98,2",0,-96.4,-35.14,0
motormekaniker,41.75,58.25,1.8,"98,2",0,-96.4,-16.5,0
murer,50.89,49.11,0.9,"99,1",0,-98.2,1.7800000000000011,1
museumsformidler,63.85,36.15,71.5,"28,5",1,43.0,27.700000000000003,1
musiker,64.35,35.65,40.4,"59,6",0,-19.200000000000003,28.69999999999999,1
musikkpedagog,69.39,30.61,56.8,"43,2",1,13.599999999999994,38.78,1
naturforvalter,43.37,56.63,16.7,"83,3",0,-66.6,-13.260000000000005,0
ndt-kontrollør,39.99,60.01,5.9,"94,1",0,-88.2,-20.019999999999996,0
negledesigner,69.74,30.26,94.4,"5,6",1,88.80000000000001,39.47999999999999,1
økonom,50.19,49.81,56.3,"43,7",1,12.599999999999994,0.37999999999999545,1
økonomikonsulent,50.49,49.51,53.1,"46,9",1,6.200000000000003,0.980000000000004,1
økonomisjef,51.89,48.11,34.2,"65,8",0,-31.599999999999994,3.780000000000001,1
optiker,63.47,36.53,62.1,"37,9",1,24.200000000000003,26.939999999999998,1
organist kantor,55.88,44.12,39.9,"60,1",0,-20.200000000000003,11.760000000000005,1
ortopediingeniør,60.51,39.49,55.1,"44,9",1,10.200000000000003,21.019999999999996,1
ortopeditekniker,62.3,37.7,31.4,"68,6",0,-37.2,24.599999999999994,1
oversetter,60.3,39.7,61.1,"38,9",1,22.200000000000003,20.599999999999994,1
overstyrmann,47.91,52.09,2.8,"97,2",0,-94.4,-4.180000000000007,0
pedagog,63.44,36.56,69.7,"30,3",1,39.400000000000006,26.879999999999995,1
pedagogisk-psykologisk rådgiver,64.51,35.49,89.6,"10,4",1,79.19999999999999,29.02000000000001,1
personalrådgiver,69.37,30.63,63.5,"36,5",1,27.0,38.74000000000001,1
personalsjef,68.81,31.19,68.7,"31,3",1,37.400000000000006,37.620000000000005,1
personlig assistent,68.42,31.58,72.4,"27,6",1,44.80000000000001,36.84,1
personlig trener,59.14,40.86,65.8,"34,2",1,31.599999999999994,18.28,1
petroleumsingeniør,56.64,43.36,20.2,"79,8",0,-59.6,13.280000000000001,1
pilot,46.35,53.65,4.6,"95,4",0,-90.8,-7.299999999999997,0
planteinspektør,58.76,41.24,70.7,"29,3",1,41.400000000000006,17.519999999999996,1
plastmekaniker,46.05,53.95,14.9,"85,1",0,-70.2,-7.900000000000006,0
platearbeider,50.78,49.22,1.2,"98,8",0,-97.6,1.5600000000000023,1
pleiemedarbeider,56.24,43.76,77.5,"22,5",1,55.0,12.480000000000004,1
politi,44.81,55.19,36.1,"63,9",0,-27.799999999999997,-10.379999999999995,0
politibetjent,50.17,49.83,34,66,0,-32.0,0.3400000000000034,1
politijurist,49.28,50.72,57.3,"42,7",1,14.599999999999994,-1.4399999999999977,0
politiker,52.22,47.78,48.1,"51,9",0,-3.799999999999997,4.439999999999998,1
pølsemaker,53.96,46.04,37.9,"62,1",0,-24.200000000000003,7.920000000000002,1
portør,44.36,55.64,24.7,"75,3",0,-50.6,-11.280000000000001,0
postbud,46.58,53.42,43.7,"56,3",0,-12.599999999999994,-6.840000000000003,0
prest,52.59,47.41,32.6,"67,4",0,-34.8,5.180000000000007,1
produksjonselektroniker,51.22,48.78,30.2,"69,8",0,-39.6,2.4399999999999977,1
produktutvikler,57.94,42.06,34,66,0,-32.0,15.879999999999995,1
produktutvikler fiskefôr,51.24,48.76,13.5,"86,5",0,-73.0,2.480000000000004,1
professor,60.38,39.62,31.2,"68,8",0,-37.6,20.760000000000005,1
profileringsdesigner,62.95,37.05,50.7,"49,3",1,1.4000000000000057,25.900000000000006,1
programvareutvikler,60.34,39.66,18.9,"81,1",0,-62.2,20.680000000000007,1
prosessingeniør,50.97,49.03,21.1,"78,9",0,-57.8,1.9399999999999977,1
prosesstekniker,43.89,56.11,15.1,"84,9",0,-69.8,-12.219999999999999,0
prosjektleder,63.94,36.06,26,74,0,-48.0,27.879999999999995,1
provisorfarmasøyt,66.46,33.54,81.7,"18,3",1,63.400000000000006,32.91999999999999,1
psykiater,60.74,39.26,52.6,"47,4",1,5.200000000000003,21.480000000000004,1
psykolog,66.9,33.1,73.8,"26,2",1,47.599999999999994,33.80000000000001,1
rådgiver i offentlig sektor,53.77,46.23,62.1,"37,9",1,24.200000000000003,7.540000000000006,1
radiograf,63.82,36.18,73.8,"26,2",1,47.599999999999994,27.64,1
radiolog,55.95,44.05,45.9,"54,1",0,-8.200000000000003,11.900000000000006,1
redaktør,58.6,41.4,49.6,"50,4",0,-0.7999999999999972,17.200000000000003,1
regissør,55.17,44.83,39.6,"60,4",0,-20.799999999999997,10.340000000000003,1
regnskapsfører,59.01,40.99,74.2,"25,8",1,48.400000000000006,18.019999999999996,1
reindriftsutøver,56.27,43.73,23.7,"76,3",0,-52.6,12.540000000000006,1
reiseleder,73.3,26.7,54.9,"45,1",1,9.799999999999997,46.599999999999994,1
reiselivsmedarbeider,66.75,33.25,68.5,"31,5",1,37.0,33.5,1
rektor skoleleder,62.77,37.23,58.4,"41,6",1,16.799999999999997,25.540000000000006,1
rekvisitør,59.94,40.06,23.9,"76,1",0,-52.2,19.879999999999995,1
renholdsoperatør,57.26,42.74,77,23,1,54.0,14.519999999999996,1
resepsjonist,71.21,28.79,61.4,"38,6",1,22.799999999999997,42.41999999999999,1
